uf;ano;geral;homens;mulheres
PB;1996;19.24;33.13;6.21
AC;1996;21.5;36.4;6.27
RS;1996;15.38;27.08;3.92
AM;1996;18.83;34.74;2.77
TO;1996;12.01;19.54;4.1
MG;1996;7.56;13.01;2.19
SP;1996;36.1;67.6;5.53
SC;1996;8.45;13.85;2.75
PR;1996;15.31;27.34;3.37
PA;1996;12.7;22.27;2.86
ES;1996;42.49;76.48;8.73
MS;1996;37.45;66.26;8.23
DF;1996;33.75;64.3;5.48
CE;1996;12.99;23.78;2.4
RO;1996;24.48;40.4;7.21
PI;1996;4.37;7.78;1.02
MT;1996;29.51;48.95;8.04
GO;1996;17.32;29.23;5.27
RR;1996;43.29;69.87;15.03
PE;1996;40.84;77.6;6.4
SE;1996;14.65;26.03;3.61
BA;1996;15.01;27.6;2.76
RN;1996;9.41;16.4;2.67
MA;1996;6.95;12.67;1.18
AP;1996;41.37;73.8;8.49
RJ;1996;59.92;114.22;9.35
AL;1996;28.14;52.13;5.19
SP;1997;36.07;67.21;5.83
DF;1997;32.65;62.75;4.91
ES;1997;49.63;90.71;8.92
PI;1997;5.26;9.76;0.94
PE;1997;49.72;96.03;6.29
SE;1997;11.46;21.2;2.12
RR;1997;35.36;60.99;8.1
PB;1997;14.76;27.85;2.44
AM;1997;19.02;35.03;2.69
RJ;1997;58.67;111.9;9.18
RS;1997;16.88;30.24;3.82
PA;1997;13.34;23.67;2.72
MS;1997;37.1;66.04;7.26
AC;1997;19.99;34.02;5.65
CE;1997;14.82;27.79;2.39
MG;1997;7.96;13.94;2.09
AP;1997;34.83;63.26;6.01
MA;1997;6.28;10.83;1.72
PR;1997;17.29;31.31;3.41
MT;1997;33.48;56.88;7.86
GO;1997;16.03;27.84;4.05
RN;1997;9.05;16.41;2.03
BA;1997;15.58;28.81;2.71
TO;1997;10.36;16.8;3.6
AL;1997;24.1;44.56;4.54
RO;1997;28.27;49.72;5.42
SC;1997;8.53;14.71;2.05
RR;1998;51.4;90.04;9.49
AL;1998;21.65;40.95;3.26
PR;1998;17.55;31.45;3.81
PI;1998;5.15;8.94;1.44
AC;1998;21.39;37.74;4.71
CE;1998;13.48;26.02;1.55
PE;1998;58.78;113.94;7.12
TO;1998;11.64;19.39;3.51
BA;1998;9.89;18.45;1.55
PA;1998;13.41;24.11;2.35
MA;1998;5.19;9.28;1.07
DF;1998;32.91;62.75;5.39
MS;1998;33.57;59.34;7.35
RO;1998;38.7;68.2;7.28
PB;1998;13.56;25.46;2.36
ES;1998;57.84;104.73;11.19
GO;1998;14.83;25.93;3.2
MG;1998;8.83;15.46;2.32
SC;1998;8.23;13.47;2.74
AM;1998;21.18;38;4.14
SE;1998;10.38;19.64;1.51
SP;1998;39.63;74.49;5.77
MT;1998;35.68;61.11;8.24
RJ;1998;55.35;106.28;7.88
AP;1998;38.01;69.85;5.74
RN;1998;8.45;15.76;1.48
RS;1998;15.44;27.59;3.6
DF;1999;33.45;63.18;5.85
PE;1999;55.62;107.84;6.76
RO;1999;33.31;58.57;6.05
AL;1999;20.41;37.71;3.95
AM;1999;20.42;36.65;3.96
SP;1999;44.01;82.91;6.18
AP;1999;43.65;79.04;7.78
PA;1999;10.9;20.1;1.34
BA;1999;7.02;12.85;1.33
CE;1999;15.53;29.24;2.49
SC;1999;7.55;12.74;1.96
TO;1999;11.98;20.65;2.88
ES;1999;51.87;95.54;8.66
AC;1999;9.66;16.5;2.67
MA;1999;4.83;8.65;0.99
PR;1999;18.19;32.65;3.85
RS;1999;15.37;27.87;3.21
MG;1999;9.22;16.02;2.54
MS;1999;28.17;49.89;6.24
MT;1999;34.6;61.19;6.18
GO;1999;17.61;30.15;4.82
PB;1999;11.93;22.6;1.95
SE;1999;19.2;34.35;4.57
PI;1999;4.86;9.4;0.5
RR;1999;57.69;101.02;11.59
RJ;1999;52.58;100.66;7.58
RN;1999;8.43;15.43;1.76
RR;2000;40.07;65.04;13.89
TO;2000;15.21;26.86;2.83
PR;2000;18.7;34.04;3.39
MA;2000;6.22;11.34;1.12
PI;2000;8.08;15.3;0.96
PA;2000;13.01;23.71;2.05
AP;2000;32.7;63.47;1.68
DF;2000;33.49;65.62;3.83
SP;2000;42.1;79.55;6.08
AM;2000;19.62;36.48;2.57
MS;2000;31.32;55.38;6.93
SE;2000;22.97;42.51;4.06
CE;2000;16.66;31;2.78
RS;2000;16.37;29.79;3.35
